antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['Toast']),frozenset(['Coffee']),0.03336480956877558,0.4750813136082258,0.023502255796873362,0.7044025157232704,1.4826988465897726,0.007651258238651159,1.7757887475806826
frozenset(['Coffee']),frozenset(['Toast']),0.4750813136082258,0.03336480956877558,0.023502255796873362,0.04946996466431096,1.4826988465897726,0.007651258238651159,1.0169433416060838
frozenset(['Cake']),frozenset(['Tea']),0.10313713146574337,0.141643059490085,0.023607176581680833,0.2288911495422177,1.615971515768057,0.008998517733841829,1.1131462698169476
frozenset(['Tea']),frozenset(['Cake']),0.141643059490085,0.10313713146574337,0.023607176581680833,0.16666666666666669,1.6159715157680572,0.008998517733841829,1.076235442241108
frozenset(['Coffee']),frozenset(['Salad']),0.4750813136082258,0.010387157695939566,0.006505088658063162,0.013692579505300352,1.3182219723739157,0.0015703441352204013,1.0033513098864275
frozenset(['Salad']),frozenset(['Coffee']),0.010387157695939566,0.4750813136082258,0.006505088658063162,0.6262626262626262,1.3182219723739157,0.0015703441352204013,1.4045121608860982
"frozenset(['Tea', 'Coffee'])",frozenset(['Sandwich']),0.04952261042912601,0.07134613366907984,0.0053509600251809885,0.10805084745762712,1.514459745762712,0.001817713241862797,1.0411511280479675
frozenset(['Sandwich']),"frozenset(['Tea', 'Coffee'])",0.07134613366907984,0.04952261042912601,0.0053509600251809885,0.07500000000000001,1.5144597457627123,0.001817713241862797,1.0275431238604043
frozenset(['Toast']),frozenset(['Tea']),0.03336480956877558,0.141643059490085,0.006400167873255692,0.19182389937106917,1.3542767295597482,0.0016742741666302555,1.0620914672457313
frozenset(['Tea']),frozenset(['Toast']),0.141643059490085,0.03336480956877558,0.006400167873255692,0.04518518518518518,1.3542767295597482,0.0016742741666302555,1.0123797572398394
frozenset(['Cake']),frozenset(['Cookies']),0.10313713146574337,0.054034204175847235,0.007239534151715455,0.07019328585961343,1.299052830151409,0.0016666013319842797,1.0173789685942476
frozenset(['Cookies']),frozenset(['Cake']),0.054034204175847235,0.10313713146574337,0.007239534151715455,0.13398058252427186,1.299052830151409,0.0016666013319842797,1.0356151957290185
frozenset(['Medialuna']),frozenset(['Pastry']),0.061378659112370164,0.08551043961808834,0.00912810827824992,0.1487179487179487,1.7391788579518639,0.003879592154382364,1.0742497847859804
frozenset(['Pastry']),frozenset(['Medialuna']),0.08551043961808834,0.061378659112370164,0.00912810827824992,0.1067484662576687,1.7391788579518639,0.003879592154382364,1.0507917483838165
frozenset(['Tea']),frozenset(['Cookies']),0.141643059490085,0.054034204175847235,0.009757632987094743,0.06888888888888889,1.2749126213592232,0.0021040629905158146,1.0159537186655578
frozenset(['Cookies']),frozenset(['Tea']),0.054034204175847235,0.141643059490085,0.009757632987094743,0.18058252427184465,1.2749126213592232,0.0021040629905158146,1.047520910811863
frozenset(['Cake']),frozenset(['Juice']),0.10313713146574337,0.03829608645472668,0.007029692582100514,0.0681586978636826,1.7797823269555038,0.0030799440787958945,1.0320468853875586
frozenset(['Juice']),frozenset(['Cake']),0.03829608645472668,0.10313713146574337,0.007029692582100514,0.18356164383561643,1.7797823269555038,0.0030799440787958945,1.098506533607395
frozenset(['Tea']),frozenset(['Sandwich']),0.141643059490085,0.07134613366907984,0.01426922673381597,0.10074074074074074,1.4120000000000001,0.004163542078138937,1.032687577880348
frozenset(['Sandwich']),frozenset(['Tea']),0.07134613366907984,0.141643059490085,0.01426922673381597,0.2,1.4120000000000001,0.004163542078138937,1.0729461756373937
frozenset(['Tea']),frozenset(['Juice']),0.141643059490085,0.03829608645472668,0.007134613366907985,0.05037037037037037,1.3152876712328767,0.0017102385149636952,1.0127147295523549
frozenset(['Juice']),frozenset(['Tea']),0.03829608645472668,0.141643059490085,0.007134613366907985,0.1863013698630137,1.3152876712328767,0.0017102385149636952,1.0548831087074713
"frozenset(['Cake', 'Hot chocolate'])",frozenset(['Coffee']),0.0113314447592068,0.4750813136082258,0.006819851012485573,0.6018518518518519,1.266839664310954,0.0014364933512025614,1.318400421635154
"frozenset(['Cake', 'Coffee'])",frozenset(['Hot chocolate']),0.054348966530269646,0.05791627321372364,0.006819851012485573,0.12548262548262548,2.166621201947289,0.003672161418034955,1.0772613034774638
"frozenset(['Hot chocolate', 'Coffee'])",frozenset(['Cake']),0.029377819746091702,0.10313713146574337,0.006819851012485573,0.23214285714285712,2.250817468391222,0.003789906955156002,1.168007456695776
frozenset(['Cake']),"frozenset(['Hot chocolate', 'Coffee'])",0.10313713146574337,0.029377819746091702,0.006819851012485573,0.06612410986775177,2.250817468391222,0.003789906955156002,1.039348151622649
frozenset(['Hot chocolate']),"frozenset(['Cake', 'Coffee'])",0.05791627321372364,0.054348966530269646,0.006819851012485573,0.11775362318840579,2.166621201947289,0.003672161418034955,1.071867290503678
frozenset(['Coffee']),"frozenset(['Cake', 'Hot chocolate'])",0.4750813136082258,0.0113314447592068,0.006819851012485573,0.01435512367491166,1.266839664310954,0.0014364933512025614,1.0030677163635024
frozenset(['Tea']),frozenset(['Muffin']),0.141643059490085,0.03819116566991921,0.006505088658063162,0.045925925925925926,1.2025274725274726,0.0010955751070831042,1.0081070856720566
frozenset(['Muffin']),frozenset(['Tea']),0.03819116566991921,0.141643059490085,0.006505088658063162,0.17032967032967034,1.2025274725274726,0.0010955751070831042,1.0345759150516856
"frozenset(['Coffee', 'Bread'])",frozenset(['Pastry']),0.08939250865596475,0.08551043961808834,0.011121603189591859,0.12441314553990611,1.4549468590685217,0.003477610475856546,1.0444304362538723
frozenset(['Pastry']),"frozenset(['Coffee', 'Bread'])",0.08551043961808834,0.08939250865596475,0.011121603189591859,0.13006134969325156,1.4549468590685217,0.003477610475856546,1.046749090896176
frozenset(['Soup']),frozenset(['Sandwich']),0.03420417584723534,0.07134613366907984,0.005455880809988459,0.15950920245398773,2.235709130277878,0.003015545107950894,1.1048947460725547
frozenset(['Sandwich']),frozenset(['Soup']),0.07134613366907984,0.03420417584723534,0.005455880809988459,0.07647058823529412,2.2357091302778778,0.003015545107950894,1.045766179018917
"frozenset(['Cake', 'Coffee'])",frozenset(['Tea']),0.054348966530269646,0.141643059490085,0.009967474556709684,0.1833976833976834,1.2947876447876447,0.0022693206572380626,1.051132139915215
"frozenset(['Tea', 'Coffee'])",frozenset(['Cake']),0.04952261042912601,0.10313713146574337,0.009967474556709684,0.20127118644067798,1.9514910253978655,0.004859854574354122,1.1228627956184858
frozenset(['Cake']),"frozenset(['Tea', 'Coffee'])",0.10313713146574337,0.04952261042912601,0.009967474556709684,0.09664292980671414,1.9514910253978655,0.004859854574354122,1.0521613445362266
frozenset(['Tea']),"frozenset(['Cake', 'Coffee'])",0.141643059490085,0.054348966530269646,0.009967474556709684,0.07037037037037037,1.294787644787645,0.0022693206572380626,1.0172341794295905
frozenset(['Juice']),frozenset(['Sandwich']),0.03829608645472668,0.07134613366907984,0.00577064316441087,0.15068493150684933,2.1120265914585015,0.0030383654612093024,1.0934150361638255
frozenset(['Sandwich']),frozenset(['Juice']),0.07134613366907984,0.03829608645472668,0.00577064316441087,0.08088235294117647,2.1120265914585015,0.0030383654612093024,1.0463338579372574
frozenset(['Cake']),frozenset(['Hot chocolate']),0.10313713146574337,0.05791627321372364,0.0113314447592068,0.10986775178026449,1.897010040249458,0.0053581264747570734,1.0583637753496111
frozenset(['Hot chocolate']),frozenset(['Cake']),0.05791627321372364,0.10313713146574337,0.0113314447592068,0.1956521739130435,1.8970100402494583,0.0053581264747570734,1.1150187014209678
frozenset(['Hot chocolate']),frozenset(['Cookies']),0.05791627321372364,0.054034204175847235,0.005980484734025811,0.10326086956521739,1.9110278598564796,0.0028510250020913155,1.0548951904948127
frozenset(['Cookies']),frozenset(['Hot chocolate']),0.054034204175847235,0.05791627321372364,0.005980484734025811,0.11067961165048544,1.9110278598564796,0.0028510250020913155,1.0593299547924286
frozenset(['Alfajores']),frozenset(['Tea']),0.0360927499737698,0.141643059490085,0.006714930227678103,0.18604651162790697,1.3134883720930233,0.0016026426959826635,1.054552812626467
